id,ruolo,giocatore,squadra,quotazione,FVM_originale_1000,FVM_convertito_500,prezzo_video_500,prezzo_personale_500,fonte_attiva
6039,D,Cabal,Juventus,1,4,2.0,,,STIMA
327,D,Patric,Lazio,1,1,0.5,,,STIMA
5399,D,Antov,Monza,1,2,1.0,,,STIMA
6809,D,Marianucci,Napoli,1,3,1.5,,,STIMA
5481,D,Mazzocchi,Napoli,1,3,1.5,,,STIMA
6149,D,Carboni F.,Parma,1,3,1.5,,,STIMA
7260,D,Ziolkowski,Roma,1,2,1.0,,,STIMA
6189,D,Missori,Sassuolo,1,2,1.0,,,STIMA
7156,D,Pieragnolo,Sassuolo,1,1,0.5,,,STIMA
7356,D,Mlacic,Udinese,1,3,1.5,,,STIMA
7454,D,Gomes,Venezia,1,1,0.5,,,STIMA
7553,D,Omar Fayed,Frosinone,1,1,0.5,,,STIMA
7396,D,Macchioni,Sassuolo,1,1,0.5,,,STIMA
7599,D,Lulli,Roma,1,3,1.5,,,STIMA
7604,D,Maye,Monza,1,1,0.5,,,STIMA
7615,D,Drobnic,Parma,1,1,0.5,,,STIMA
6875,C,Paz N.,Como,29,247,123.5,75.0,,VIDEO
2194,C,Calhanoglu,Inter,28,236,118.0,60.0,,VIDEO
4777,C,McTominay,Napoli,28,228,114.0,70.0,,VIDEO
2167,C,Orsolini,Bologna,25,192,96.0,65.0,,VIDEO
2423,C,Pulisic,Milan,24,160,80.0,55.0,,VIDEO
2379,C,Rabiot,Milan,23,145,72.5,30.0,,VIDEO
7126,C,Baturina,Como,19,97,48.5,50.0,,VIDEO
7556,C,Mora,Roma,19,95,47.5,45.0,,VIDEO
5559,C,Da Cunha,Como,18,87,43.5,35.0,,VIDEO
2766,C,Zaniolo,Udinese,18,85,42.5,33.0,,VIDEO
1870,C,Barella,Inter,17,80,40.0,33.0,,VIDEO
4973,C,McKennie,Juventus,17,70,35.0,25.0,,VIDEO
6908,C,Atta,Fiorentina,16,86,43.0,40.0,,VIDEO
632,C,Zaccagni,Lazio,16,88,44.0,30.0,,VIDEO
2517,C,De Bruyne,Napoli,16,107,53.5,35.0,,VIDEO
5800,C,Gudmundsson A.,Fiorentina,13,40,20.0,15.0,,VIDEO
7314,C,Taylor K.,Lazio,13,57,28.5,20.0,,VIDEO
5687,C,Vlasic,Torino,13,75,37.5,30.0,,VIDEO
5792,C,Ederson D.S.,Atalanta,12,49,24.5,20.0,,VIDEO
5119,C,Samardzic,Atalanta,12,41,20.5,16.5,,VIDEO
7129,C,Rodriguez Je.,Como,12,31,15.5,,,STIMA
7436,C,Alajbegovic,Juventus,12,50,25.0,50.0,,VIDEO
6884,C,Conceicao,Juventus,12,67,33.5,20.0,,VIDEO
2606,C,Modric,Milan,12,46,23.0,11.5,,VIDEO
7078,C,Mastantuono,Fiorentina,12,54,27.0,33.0,,VIDEO
6372,C,Moreira,Milan,12,50,25.0,26.5,,VIDEO
5172,C,Jones C.,Inter,12,48,24.0,15.0,,VIDEO
1850,C,Kessiè,Atalanta,12,47,23.5,,,STIMA
6844,C,Rowe,Bologna,11,44,22.0,30.0,,VIDEO
5823,C,Baldanzi,Genoa,11,30,15.0,,,STIMA
152,C,Zielinski,Inter,11,45,22.5,35.0,,VIDEO
4220,C,Zambo Anguissa,Napoli,11,47,23.5,15.0,,VIDEO
6684,C,Ekkelenkamp,Udinese,11,45,22.5,25.0,,VIDEO
4179,C,Gonzalez N.,Juventus,11,41,20.5,,,STIMA
6151,C,Perrone,Como,10,37,18.5,,,STIMA
5562,C,Thuram K.,Juventus,10,35,17.5,,,STIMA
4892,C,Saelemaekers,Milan,10,35,17.5,15.0,,VIDEO
536,C,Politano,Napoli,10,40,20.0,,,STIMA
7223,C,Vergara,Napoli,10,40,20.0,20.0,,VIDEO
5589,C,Konè M.,Roma,10,42,21.0,10.0,,VIDEO
5844,C,Thorstvedt,Sassuolo,10,40,20.0,,,STIMA
5888,C,Casadei,Torino,10,32,16.0,20.0,,VIDEO
530,C,Pellegrini Lo.,Roma,10,25,12.5,,,STIMA
2077,C,Pasalic,Atalanta,9,24,12.0,,,STIMA
184,C,Bernardeschi,Bologna,9,30,15.0,11.5,,VIDEO
1933,C,Mandragora,Fiorentina,9,23,11.5,,,STIMA
6274,C,Diouf,Inter,9,44,22.0,13.0,,VIDEO
2848,C,Frattesi,Lazio,9,68,34.0,21.5,,VIDEO
5500,C,Cancellieri,Lazio,9,28,14.0,,,STIMA
6398,C,Isaksen,Lazio,9,22,11.0,,,STIMA
6717,C,Konè I.,Sassuolo,9,20,10.0,,,STIMA
4364,C,Gaetano,Atalanta,8,30,15.0,,,STIMA
2765,C,Odgaard,Bologna,8,17,8.5,,,STIMA
4436,C,Cambiaghi,Bologna,8,21,10.5,,,STIMA
4465,C,Fagioli,Fiorentina,8,22,11.0,,,STIMA
6294,C,Ndour,Fiorentina,8,25,12.5,13.0,,VIDEO
7070,C,Sucic P.,Inter,8,21,10.5,,,STIMA
827,C,Locatelli,Juventus,8,33,16.5,,,STIMA
5878,C,Colpani,Monza,8,15,7.5,,,STIMA
4287,C,Lobotka,Napoli,8,22,11.0,,,STIMA
779,C,Cristante,Roma,8,29,14.5,,,STIMA
5735,C,Volpato,Sassuolo,8,23,11.5,,,STIMA
7551,C,Schmid,Frosinone,8,28,14.0,,,STIMA
5858,C,Ferguson,Bologna,7,23,11.5,,,STIMA
4870,C,Adopo,Cagliari,7,13,6.5,,,STIMA
7311,C,Romano,Cagliari,7,20,10.0,,,STIMA
6010,C,Fazzini,Cagliari,7,24,12.0,,,STIMA
7472,C,Calò,Frosinone,7,25,12.5,,,STIMA
5791,C,Frendrup,Genoa,7,20,10.0,,,STIMA
4459,C,Rovella,Lazio,7,16,8.0,,,STIMA
5504,C,Coulibaly L.,Lecce,7,17,8.5,,,STIMA
4856,C,Chukwueze,Milan,7,22,11.0,,,STIMA
2741,C,Pessina,Monza,7,15,7.5,,,STIMA
6666,C,Bernabè,Parma,7,35,17.5,,,STIMA
6190,C,Pisilli,Roma,7,17,8.5,11.5,,VIDEO
6218,C,Oristanio,Torino,7,12,6.0,,,STIMA
6680,C,Karlstrom,Udinese,7,20,10.0,,,STIMA
6783,C,Unai Gomez,Udinese,7,17,8.5,,,STIMA
5946,C,Sow,Genoa,7,15,7.5,,,STIMA
4479,C,Elmas,Atalanta,7,28,14.0,,,STIMA
5422,C,Zalewski,Atalanta,6,20,10.0,,,STIMA
5298,C,Pobega,Bologna,6,13,6.5,,,STIMA
4260,C,Winks,Cagliari,6,15,7.5,,,STIMA
7412,C,Milla,Como,6,20,10.0,,,STIMA
5036,C,Caqueret,Como,6,17,8.5,,,STIMA
6678,C,Liberali,Como,6,21,10.5,,,STIMA
7464,C,Oulai,Fiorentina,6,20,10.0,,,STIMA
6020,C,Ellertsson,Genoa,6,18,9.0,,,STIMA
5761,C,Zhegrova,Juventus,6,20,10.0,,,STIMA
6549,C,Pierotti,Lecce,6,19,9.5,,,STIMA
6593,C,Akinsanmiro,Monza,6,12,6.0,,,STIMA
4349,C,Nicolussi Caviglia,Parma,6,16,8.0,,,STIMA
